method,progress,in_mb,out_mb,last_group_mb,elapsed_s,speed_mbps,groups,rows,compression_ratio
adaptive,3.2,2455.7,953.9,67.4,38.4,63.9,19,3055790,0.38844321374760765
adaptive,3.3,2584.6,1022.0,68.0,39.9,64.8,20,3174929,0.39541902035131166
adaptive,3.5,2713.6,1087.2,65.3,41.4,65.5,21,3300400,0.4006485849056604
adaptive,3.7,2842.1,1135.0,47.8,43.4,65.5,22,3469943,0.3993525913936878
adaptive,3.8,2969.7,1176.3,41.3,45.4,65.4,23,3668942,0.396100616223861
adaptive,4.0,3098.8,1221.0,44.7,47.3,65.5,24,3841573,0.3940234929650187
adaptive,4.2,3227.2,1256.7,35.7,49.1,65.7,25,3995800,0.38940877540902336
adaptive,4.3,3355.9,1294.8,38.1,51.4,65.2,26,4154450,0.3858279448136118
adaptive,4.5,3484.7,1339.3,44.5,54.6,63.9,27,4325856,0.3843372456739461
adaptive,4.7,3613.1,1377.9,38.6,57.4,62.9,28,4497694,0.3813622650909192
adaptive,4.8,3741.4,1416.2,38.3,59.2,63.2,29,4667532,0.37852140909819854
adaptive,5.0,3869.8,1454.9,38.7,61.1,63.4,30,4838815,0.37596258204558375
adaptive,5.2,3998.2,1493.3,38.3,62.9,63.6,31,5008540,0.37349307188234704
adaptive,5.3,4126.6,1531.8,38.5,64.7,63.8,32,5179393,0.37120147336790577
adaptive,5.5,4255.0,1570.2,38.4,66.5,64.0,33,5349350,0.36902467685076384
adaptive,5.7,4383.6,1608.4,38.2,68.3,64.2,34,5519518,0.36691303951090426
adaptive,5.8,4512.1,1647.0,38.6,70.1,64.3,35,5690235,0.3650185057955275
adaptive,6.0,4640.7,1685.5,38.4,72.0,64.5,36,5860749,0.3631995173141983
adaptive,6.2,4769.2,1723.9,38.5,73.8,64.6,37,6031073,0.36146523525958235
adaptive,6.3,4897.8,1762.2,38.3,75.6,64.7,38,6202570,0.3597941933112826
adaptive,6.5,5026.3,1800.6,38.4,77.5,64.9,39,6372801,0.3582356803215088
adaptive,6.7,5154.9,1839.1,38.6,79.3,65.0,40,6542961,0.35676734757221285
adaptive,6.8,5283.6,1877.9,38.8,81.1,65.1,41,6713395,0.35542054659701716
adaptive,7.0,5412.3,1916.6,38.7,82.9,65.3,42,6883637,0.35411932080631153
adaptive,7.2,5541.0,1955.1,38.5,84.7,65.4,43,7053668,0.3528424472116946
adaptive,7.3,5669.7,1993.7,38.5,86.6,65.5,44,7223545,0.3516411803093638
adaptive,7.5,5798.4,2032.3,38.7,88.4,65.6,45,7393847,0.3504932395143488
adaptive,7.7,5927.2,2070.9,38.5,90.2,65.7,46,7564716,0.3493892563098934
adaptive,7.8,6056.1,2109.6,38.7,92.0,65.8,47,7735989,0.34834299301530686
adaptive,8.0,6184.9,2148.4,38.8,93.9,65.9,48,7907182,0.3473621238823587
adaptive,8.2,6313.7,2187.9,39.5,95.7,66.0,49,8078642,0.34653214438443386
adaptive,8.3,6442.1,2226.2,38.3,97.6,66.0,50,8249907,0.3455705437667841
adaptive,8.5,6570.6,2265.0,38.8,99.4,66.1,51,8420487,0.3447173774084558
adaptive,8.7,6699.1,2303.2,38.2,101.3,66.1,52,8591446,0.3438073771103581
adaptive,8.8,6827.7,2341.8,38.6,103.2,66.2,53,8763276,0.3429851926710313
adaptive,9.0,6956.3,2380.7,38.8,105.0,66.2,54,8934368,0.3422365337895145
adaptive,9.2,7084.9,2419.0,38.3,106.9,66.3,55,9104845,0.34143036598963994
adaptive,9.3,7213.6,2457.5,38.5,108.8,66.3,56,9275908,0.3406759454363979
adaptive,9.5,7342.4,2495.9,38.4,110.7,66.4,57,9447405,0.33992972325125304
adaptive,9.7,7471.3,2534.5,38.6,112.5,66.4,58,9620087,0.33923145904996455
adaptive,9.8,7600.0,2572.1,37.6,114.5,66.4,59,9796902,0.3384342105263158
adaptive,10.0,7728.8,2605.3,33.2,116.3,66.4,60,9971669,0.3370898457716593
adaptive,10.2,7857.3,2643.7,38.4,118.3,66.4,61,10154001,0.3364641798073129
adaptive,10.3,7986.2,2678.5,34.8,120.2,66.4,62,10340595,0.33539104956049187
adaptive,10.5,8115.0,2705.8,27.3,122.2,66.4,63,10536022,0.3334319162045595
adaptive,10.7,8243.8,2733.4,27.7,124.2,66.4,64,10732209,0.33157039229481555
adaptive,10.8,8372.6,2760.9,27.5,126.2,66.3,65,10928000,0.3297541982179968
adaptive,11.0,8501.8,2791.1,30.2,128.1,66.4,66,11106240,0.3282951845491543
adaptive,11.2,8631.0,2818.8,27.7,129.9,66.4,67,11285277,0.32659019812304485
adaptive,11.3,8760.7,2846.6,27.8,131.8,66.4,68,11462824,0.3249283733035031
adaptive,11.5,8890.2,2883.0,36.4,133.8,66.5,69,11644119,0.32428966727407704
adaptive,11.7,9020.2,2920.2,37.2,135.6,66.5,70,11808076,0.3237400501097536
adaptive,11.8,9150.5,2957.5,37.3,137.4,66.6,71,11979958,0.32320638216490905
adaptive,12.0,9280.8,2997.4,40.0,139.5,66.5,72,12155178,0.32296784759934494
adaptive,12.2,9411.2,3038.1,40.7,141.3,66.6,73,12327522,0.32281749404964294
adaptive,12.3,9541.5,3077.2,39.2,143.2,66.6,74,12499199,0.3225069433527223
adaptive,12.5,9672.1,3116.9,39.7,145.1,66.7,75,12669557,0.3222568004880016
adaptive,12.7,9802.4,3155.4,38.4,147.0,66.7,76,12838244,0.32190075899779647
adaptive,12.8,9932.9,3194.4,39.0,148.8,66.7,77,13007381,0.3215979220570025
