method,estimated_full_time_min,estimated_output_gb,estimated_compression_ratio,steady_state_speed_mb_s,time_vs_adaptive,size_vs_adaptive
dictionary,19.288030180147576,21.582343214898646,0.285641178363592,64.99,1.0132409606834076,0.9598308830140049
delta_length,18.549000915487106,50.22746064234044,0.6647907711577279,69.50999999999999,0.9744181926192819,2.2337643053794425
adaptive,19.035975575975773,22.485568652601625,0.29760396927128624,66.95,1.0,1.0
