method,points,max_progress_pct,last_groups,last_rows,last_in_mb,last_out_mb,last_elapsed_s,wall_time_s,avg_speed_mbps,min_speed_mbps,max_speed_mbps,avg_compression_ratio,time_s_per_input_mb_slope,time_fit_intercept_s,time_fit_r2,out_mb_per_input_mb_slope,out_fit_intercept_mb,out_fit_r2
dictionary,147,24.6,147,26310247,19041.8,5491.2,293.0,294.14,61.02108843537415,32.1,65.4,0.31967146790287104,0.014861842011124086,7.407489559042176,0.999625550514317,0.28216399598411823,269.0327837872619,0.9949241525034089
delta_length,122,20.4,122,21307583,15769.1,10514.8,228.4,229.53,70.37868852459016,60.2,72.3,0.6552613654397474,0.014404543955907198,-1.4974263203476,0.9997473990607951,0.6650927777479537,-23.36536753695964,0.9998175980303274
adaptive,123,20.5,123,21510749,15900.3,4774.0,238.4,240.17,64.49430894308944,32.2,67.1,0.3303095605835181,0.014726000103821623,2.8275410423955094,0.9999326048382396,0.2946794524928332,226.2659638230475,0.9943746469702697
