method,samples,observed_progress_pct,estimated_input_gb,estimated_full_time_s,estimated_full_time_min,estimated_output_gb,estimated_compression_ratio,avg_speed_mb_s,steady_state_speed_mb_s,time_vs_adaptive,size_vs_adaptive,time_fit_r2,size_fit_r2
dictionary,147,24.6,75.55753459127148,1157.2818108088545,19.288030180147576,21.582343214898646,0.285641178363592,61.02108843537415,64.99,1.0132409606834076,0.9598308830140049,0.999625550514317,0.9949241525034089
delta_length,122,20.4,75.55378747943463,1112.9400549292263,18.549000915487106,50.22746064234044,0.6647907711577279,70.37868852459016,69.50999999999999,0.9744181926192819,2.2337643053794425,0.9997473990607951,0.9998175980303274
adaptive,123,20.5,75.55533855163236,1142.1585345585463,19.035975575975773,22.485568652601625,0.29760396927128624,64.49430894308944,66.95,1.0,1.0,0.9999326048382396,0.9943746469702697
